home_team,away_team,home_score,away_score,Round,Year,goal_diff,total_goals,result
2,28,3,3,0,2022,0,6,1
16,47,2,1,11,2022,1,3,2
28,47,2,0,10,2022,2,2,2
2,16,3,0,10,2022,3,3,2
47,57,1,0,6,2022,1,1,2
26,28,1,2,6,2022,-1,3,0
16,8,1,1,6,2022,0,2,1
48,2,2,2,6,2022,0,4,1
47,71,0,0,7,2022,0,0,1
57,73,6,1,7,2022,5,7,2
42,16,1,1,7,2022,0,2,1
8,44,4,1,7,2022,3,5,2
28,56,3,1,7,2022,2,4,2
26,64,3,0,7,2022,3,3,2
48,80,3,1,7,2022,2,4,2
2,3,2,1,7,2022,1,3,2
44,57,2,1,4,2022,1,3,2
31,81,0,2,4,2022,-2,2,0
10,8,1,0,4,2022,1,1,2
65,73,2,3,4,2022,-1,5,0
11,47,1,2,4,2022,-1,3,0
16,5,0,0,4,2022,0,0,1
15,29,2,4,4,2022,-2,6,0
42,71,2,1,4,2022,1,3,2
3,21,1,0,4,2022,1,1,2
76,28,1,0,4,2022,1,1,2
62,46,1,2,4,2022,-1,3,0
56,2,0,2,4,2022,-2,2,0
23,64,1,2,4,2022,-1,3,0
48,58,2,0,4,2022,2,2,2
36,80,0,1,4,2022,-1,1,0
82,26,0,3,4,2022,-3,3,0
10,65,3,3,4,2022,0,6,1
44,31,2,3,4,2022,-1,5,0
8,73,1,0,4,2022,1,1,2
57,81,2,0,4,2022,2,2,2
42,15,0,1,4,2022,-1,1,0
5,47,0,2,4,2022,-2,2,0
16,11,4,1,4,2022,3,5,2
71,29,1,1,4,2022,0,2,1
76,3,0,1,4,2022,-1,1,0
56,62,2,0,4,2022,2,2,2
28,21,2,1,4,2022,1,3,2
2,46,2,0,4,2022,2,2,2
82,36,0,2,4,2022,-2,2,0
58,64,1,3,4,2022,-2,4,0
48,23,1,1,4,2022,0,2,1
26,80,0,0,4,2022,0,0,1
73,10,1,0,4,2022,1,1,2
81,44,0,0,4,2022,0,0,1
57,31,3,2,4,2022,1,5,2
8,65,2,0,4,2022,2,2,2
47,16,0,0,4,2022,0,0,1
29,42,1,2,4,2022,-1,3,0
71,15,7,0,4,2022,7,7,2
5,11,1,0,4,2022,1,1,2
2,62,1,2,4,2022,-1,3,0
21,76,0,0,4,2022,0,0,1
46,56,0,0,4,2022,0,0,1
28,3,4,1,4,2022,3,5,2
26,36,6,2,4,2022,4,8,2
64,48,0,2,4,2022,-2,2,0
80,82,1,1,4,2022,0,2,1
58,23,0,2,4,2022,-2,2,0
28,16,4,2,0,2018,2,6,2
5,26,2,0,11,2018,2,2,2
16,26,2,1,10,2018,1,3,2
28,5,1,0,10,2018,1,1,2
72,26,0,2,6,2018,-2,2,0
61,16,2,2,6,2018,0,4,1
81,28,0,2,6,2018,-2,2,0
8,5,1,2,6,2018,-1,3,0
72,73,1,0,7,2018,1,1,2
14,26,1,1,7,2018,0,2,1
8,46,2,0,7,2018,2,2,2
5,42,3,2,7,2018,1,5,2
71,61,1,1,7,2018,0,2,1
16,21,1,1,7,2018,0,2,1
28,2,4,3,7,2018,1,7,2
81,57,2,1,7,2018,1,3,2
42,56,0,1,4,2018,-1,1,0
64,14,0,1,4,2018,-1,1,0
26,5,0,1,4,2018,-1,1,0
53,76,1,2,4,2018,-1,3,0
44,29,2,0,4,2018,2,2,2
46,72,0,3,4,2018,-3,3,0
73,15,2,2,4,2018,0,4,1
65,8,0,2,4,2018,-2,2,0
3,55,0,2,4,2018,-2,2,0
21,28,0,0,4,2018,0,0,1
37,16,1,2,4,2018,-1,3,0
50,2,1,2,4,2018,-1,3,0
62,24,2,1,4,2018,1,3,2
81,61,3,0,4,2018,3,3,2
71,47,2,2,4,2018,0,4,1
36,57,1,1,4,2018,0,2,1
26,53,6,1,4,2018,5,7,2
42,64,2,2,4,2018,0,4,1
56,14,0,3,4,2018,-3,3,0
5,76,5,2,4,2018,3,7,2
44,46,1,2,4,2018,-1,3,0
29,72,2,1,4,2018,1,3,2
8,15,2,0,4,2018,2,2,2
50,37,2,0,4,2018,2,2,2
65,73,1,2,4,2018,-1,3,0
21,3,1,1,4,2018,0,2,1
28,55,1,0,4,2018,1,1,2
2,16,0,3,4,2018,-3,3,0
57,47,1,0,4,2018,1,1,2
81,62,1,0,4,2018,1,1,2
36,71,0,1,4,2018,-1,1,0
14,42,1,2,4,2018,-1,3,0
56,64,1,2,4,2018,-1,3,0
61,24,3,1,4,2018,2,4,2
