,games,goals_scored,goals_conceded,wins,avg_goals,avg_conceded,win_rate
Argentina,88,152,101,47,1.7272727272727273,1.1477272727272727,0.5340909090909091
France,73,136,85,39,1.8630136986301369,1.1643835616438356,0.5342465753424658
Croatia,30,43,33,13,1.4333333333333333,1.1,0.43333333333333335
Morocco,23,20,27,5,0.8695652173913043,1.173913043478261,0.21739130434782608
Portugal,35,61,41,17,1.7428571428571429,1.1714285714285715,0.4857142857142857
England,74,104,68,32,1.4054054054054055,0.918918918918919,0.43243243243243246
Brazil,114,237,108,76,2.0789473684210527,0.9473684210526315,0.6666666666666666
Netherlands,55,96,52,30,1.7454545454545454,0.9454545454545454,0.5454545454545454
Spain,67,108,75,31,1.6119402985074627,1.1194029850746268,0.4626865671641791
Switzerland,41,55,73,14,1.3414634146341464,1.7804878048780488,0.34146341463414637
Japan,25,25,33,7,1.0,1.32,0.28
Korea Republic,38,39,78,7,1.0263157894736843,2.0526315789473686,0.18421052631578946
Poland,38,49,50,17,1.2894736842105263,1.3157894736842106,0.4473684210526316
Senegal,12,16,17,5,1.3333333333333333,1.4166666666666667,0.4166666666666667
United States,37,40,66,9,1.0810810810810811,1.7837837837837838,0.24324324324324326
Australia,20,17,37,4,0.85,1.85,0.2
Ghana,15,18,23,5,1.2,1.5333333333333334,0.3333333333333333
Uruguay,59,89,76,25,1.5084745762711864,1.2881355932203389,0.423728813559322
Cameroon,26,22,47,5,0.8461538461538461,1.8076923076923077,0.19230769230769232
Serbia,9,9,15,2,1.0,1.6666666666666667,0.2222222222222222
Canada,6,2,12,0,0.3333333333333333,2.0,0.0
Belgium,51,69,74,21,1.3529411764705883,1.4509803921568627,0.4117647058823529
Costa Rica,21,22,39,6,1.0476190476190477,1.8571428571428572,0.2857142857142857
Germany,56,126,67,37,2.25,1.1964285714285714,0.6607142857142857
Denmark,23,31,29,9,1.3478260869565217,1.2608695652173914,0.391304347826087
Tunisia,18,14,26,3,0.7777777777777778,1.4444444444444444,0.16666666666666666
Saudi Arabia,19,14,44,4,0.7368421052631579,2.3157894736842106,0.21052631578947367
Mexico,60,62,101,17,1.0333333333333334,1.6833333333333333,0.2833333333333333
Ecuador,13,14,14,5,1.0769230769230769,1.0769230769230769,0.38461538461538464
Qatar,3,1,7,0,0.3333333333333333,2.3333333333333335,0.0
IR Iran,18,13,31,3,0.7222222222222222,1.7222222222222223,0.16666666666666666
Wales,8,5,10,1,0.625,1.25,0.125
Sweden,51,80,73,19,1.5686274509803921,1.4313725490196079,0.37254901960784315
Russia,14,24,20,4,1.7142857142857142,1.4285714285714286,0.2857142857142857
Colombia,22,32,30,9,1.4545454545454546,1.3636363636363635,0.4090909090909091
Panama,3,2,11,0,0.6666666666666666,3.6666666666666665,0.0
Peru,18,21,33,5,1.1666666666666667,1.8333333333333333,0.2777777777777778
Iceland,3,2,5,0,0.6666666666666666,1.6666666666666667,0.0
Nigeria,21,23,30,6,1.0952380952380953,1.4285714285714286,0.2857142857142857
Egypt,7,5,12,0,0.7142857142857143,1.7142857142857142,0.0
Algeria,13,13,19,3,1.0,1.4615384615384615,0.23076923076923078
Greece,10,5,20,2,0.5,2.0,0.2
Chile,33,40,49,11,1.2121212121212122,1.4848484848484849,0.3333333333333333
Bosnia and Herzegovina,3,4,4,1,1.3333333333333333,1.3333333333333333,0.3333333333333333
Honduras,9,3,14,0,0.3333333333333333,1.5555555555555556,0.0
Italy,83,128,77,45,1.5421686746987953,0.927710843373494,0.5421686746987951
Côte d'Ivoire,9,13,14,3,1.4444444444444444,1.5555555555555556,0.3333333333333333
Paraguay,27,30,38,7,1.1111111111111112,1.4074074074074074,0.25925925925925924
Slovakia,4,5,7,1,1.25,1.75,0.25
Korea DPR,7,6,21,1,0.8571428571428571,3.0,0.14285714285714285
New Zealand,6,4,14,0,0.6666666666666666,2.3333333333333335,0.0
Slovenia,6,5,10,1,0.8333333333333334,1.6666666666666667,0.16666666666666666
South Africa,9,11,16,2,1.2222222222222223,1.7777777777777777,0.2222222222222222
Ukraine,5,5,7,2,1.0,1.4,0.4
Togo,3,1,6,0,0.3333333333333333,2.0,0.0
Czech Republic,3,3,4,1,1.0,1.3333333333333333,0.3333333333333333
Angola,3,1,2,0,0.3333333333333333,0.6666666666666666,0.0
Serbia and Montenegro,3,2,10,0,0.6666666666666666,3.3333333333333335,0.0
Trinidad and Tobago,3,0,4,0,0.0,1.3333333333333333,0.0
Türkiye,10,20,17,5,2.0,1.7,0.5
Republic of Ireland,13,10,10,2,0.7692307692307693,0.7692307692307693,0.15384615384615385
China PR,3,0,9,0,0.0,3.0,0.0
Romania,21,30,32,8,1.4285714285714286,1.5238095238095237,0.38095238095238093
FR Yugoslavia,4,5,4,2,1.25,1.0,0.5
Norway,8,7,8,2,0.875,1.0,0.25
Jamaica,3,3,9,1,1.0,3.0,0.3333333333333333
Bulgaria,26,22,53,3,0.8461538461538461,2.0384615384615383,0.11538461538461539
Austria,29,43,47,12,1.4827586206896552,1.6206896551724137,0.41379310344827586
Scotland,23,25,41,4,1.0869565217391304,1.7826086956521738,0.17391304347826086
Bolivia,6,1,20,0,0.16666666666666666,3.3333333333333335,0.0
West Germany,56,106,63,31,1.8928571428571428,1.125,0.5535714285714286
